time,high,low,close,open
2022-02-24 00:00:00+00:00:00,0.1277,0.1259,0.1262,0.1274
2022-02-24 01:00:00+00:00:00,0.1274,0.1258,0.1272,0.1262
2022-02-24 02:00:00+00:00:00,0.1276,0.1242,0.1243,0.1272
2022-02-24 03:00:00+00:00:00,0.1244,0.1136,0.1157,0.1243
2022-02-24 04:00:00+00:00:00,0.1175,0.1146,0.1165,0.1157
2022-02-24 05:00:00+00:00:00,0.1165,0.1069,0.1117,0.1165
2022-02-24 06:00:00+00:00:00,0.1138,0.1105,0.1113,0.1117
2022-02-24 07:00:00+00:00:00,0.114,0.1089,0.113,0.1113
2022-02-24 08:00:00+00:00:00,0.115,0.1119,0.1127,0.113
2022-02-24 09:00:00+00:00:00,0.1143,0.1121,0.1122,0.1127
2022-02-24 10:00:00+00:00:00,0.1127,0.1099,0.1111,0.1122
2022-02-24 11:00:00+00:00:00,0.112,0.1094,0.1119,0.1111
2022-02-24 12:00:00+00:00:00,0.1119,0.1104,0.1112,0.1119
2022-02-24 13:00:00+00:00:00,0.113,0.1103,0.1122,0.1112
2022-02-24 14:00:00+00:00:00,0.1167,0.1108,0.1165,0.1122
2022-02-24 15:00:00+00:00:00,0.1191,0.1146,0.1179,0.1165
2022-02-24 16:00:00+00:00:00,0.1209,0.1172,0.1186,0.1179
2022-02-24 17:00:00+00:00:00,0.1189,0.1166,0.1174,0.1186
2022-02-24 18:00:00+00:00:00,0.1219,0.1173,0.1208,0.1174
2022-02-24 19:00:00+00:00:00,0.1233,0.1196,0.1233,0.1208
2022-02-24 20:00:00+00:00:00,0.1256,0.1229,0.1239,0.1233
2022-02-24 21:00:00+00:00:00,0.1242,0.1224,0.1238,0.1239
2022-02-24 22:00:00+00:00:00,0.1246,0.1205,0.121,0.1238
2022-02-24 23:00:00+00:00:00,0.1242,0.1209,0.1241,0.121
2022-02-25 00:00:00+00:00:00,0.1249,0.122,0.1222,0.1241
2022-02-25 01:00:00+00:00:00,0.1248,0.1222,0.1241,0.1222
2022-02-25 02:00:00+00:00:00,0.1247,0.1235,0.1238,0.1241
2022-02-25 03:00:00+00:00:00,0.1239,0.1218,0.1237,0.1238
2022-02-25 04:00:00+00:00:00,0.1238,0.1225,0.1228,0.1237
2022-02-25 05:00:00+00:00:00,0.1231,0.1212,0.1221,0.1228
2022-02-25 06:00:00+00:00:00,0.1235,0.1219,0.1235,0.1221
2022-02-25 07:00:00+00:00:00,0.1239,0.1225,0.1227,0.1235
2022-02-25 08:00:00+00:00:00,0.1228,0.1212,0.1224,0.1227
2022-02-25 09:00:00+00:00:00,0.1229,0.1206,0.1228,0.1224
2022-02-25 10:00:00+00:00:00,0.1229,0.1216,0.1227,0.1228
2022-02-25 11:00:00+00:00:00,0.1241,0.1217,0.1239,0.1227
2022-02-25 12:00:00+00:00:00,0.1259,0.1237,0.1255,0.1239
2022-02-25 13:00:00+00:00:00,0.1278,0.1254,0.1262,0.1255
2022-02-25 14:00:00+00:00:00,0.1266,0.1245,0.1245,0.1262
2022-02-25 15:00:00+00:00:00,0.1266,0.1235,0.1263,0.1245
2022-02-25 16:00:00+00:00:00,0.1274,0.1255,0.1265,0.1263
2022-02-25 17:00:00+00:00:00,0.1267,0.1248,0.125,0.1265
2022-02-25 18:00:00+00:00:00,0.1251,0.1233,0.1244,0.125
2022-02-25 19:00:00+00:00:00,0.1248,0.1229,0.1243,0.1244
2022-02-25 20:00:00+00:00:00,0.1259,0.1237,0.1258,0.1243
2022-02-25 21:00:00+00:00:00,0.1261,0.125,0.1252,0.1258
2022-02-25 22:00:00+00:00:00,0.1281,0.1248,0.1281,0.1252
2022-02-25 23:00:00+00:00:00,0.1284,0.1269,0.1278,0.1281
2022-02-26 00:00:00+00:00:00,0.1305,0.1271,0.1293,0.1278
2022-02-26 01:00:00+00:00:00,0.1305,0.1288,0.1299,0.1293
2022-02-26 02:00:00+00:00:00,0.1301,0.129,0.1297,0.1299
2022-02-26 03:00:00+00:00:00,0.13,0.1283,0.1289,0.1297
2022-02-26 04:00:00+00:00:00,0.1297,0.1287,0.1292,0.1289
2022-02-26 05:00:00+00:00:00,0.1292,0.1268,0.127,0.1292
2022-02-26 06:00:00+00:00:00,0.128,0.127,0.1276,0.127
2022-02-26 07:00:00+00:00:00,0.1279,0.1264,0.1276,0.1276
2022-02-26 08:00:00+00:00:00,0.1285,0.126,0.1266,0.1276
2022-02-26 09:00:00+00:00:00,0.1271,0.1257,0.1263,0.1266
2022-02-26 10:00:00+00:00:00,0.1274,0.1263,0.1274,0.1263
2022-02-26 11:00:00+00:00:00,0.1276,0.1261,0.1267,0.1274
2022-02-26 12:00:00+00:00:00,0.1269,0.1259,0.1267,0.1267
2022-02-26 13:00:00+00:00:00,0.1274,0.1264,0.1265,0.1267
2022-02-26 14:00:00+00:00:00,0.1277,0.1262,0.1274,0.1265
2022-02-26 15:00:00+00:00:00,0.1282,0.127,0.1272,0.1274
2022-02-26 16:00:00+00:00:00,0.1277,0.1265,0.1269,0.1272
