time,high,low,close,open
2022-02-24 00:00:00+00:00:00,2594.07,2561.21,2562,2580.97
2022-02-24 01:00:00+00:00:00,2577.05,2548.71,2572.5,2562
2022-02-24 02:00:00+00:00:00,2577.19,2496.49,2499.67,2572.5
2022-02-24 03:00:00+00:00:00,2499.85,2394.39,2397.15,2499.67
2022-02-24 04:00:00+00:00:00,2411.66,2359.79,2402.86,2397.15
2022-02-24 05:00:00+00:00:00,2407.96,2302.3,2334.22,2402.86
2022-02-24 06:00:00+00:00:00,2355.69,2329.67,2341.9,2334.22
2022-02-24 07:00:00+00:00:00,2396.58,2303.06,2371.56,2341.9
2022-02-24 08:00:00+00:00:00,2421.18,2362,2383.58,2371.56
2022-02-24 09:00:00+00:00:00,2411.66,2366.46,2370.81,2383.58
2022-02-24 10:00:00+00:00:00,2380.9,2333.97,2363,2370.81
2022-02-24 11:00:00+00:00:00,2396.76,2336.13,2396.04,2363
2022-02-24 12:00:00+00:00:00,2396.59,2359.3,2369.49,2396.04
2022-02-24 13:00:00+00:00:00,2412.5,2351.61,2394.6,2369.49
2022-02-24 14:00:00+00:00:00,2445.85,2377.55,2440.46,2394.6
2022-02-24 15:00:00+00:00:00,2477.96,2418.28,2457.89,2440.46
2022-02-24 16:00:00+00:00:00,2492.44,2452.97,2476.6,2457.89
2022-02-24 17:00:00+00:00:00,2478.55,2432.25,2436.97,2476.6
2022-02-24 18:00:00+00:00:00,2555.12,2435.4,2528.29,2436.97
2022-02-24 19:00:00+00:00:00,2601.82,2515.94,2600.38,2528.29
2022-02-24 20:00:00+00:00:00,2708,2599.67,2650.48,2600.38
2022-02-24 21:00:00+00:00:00,2655.85,2620.34,2637.28,2650.48
2022-02-24 22:00:00+00:00:00,2642.19,2547.4,2566.69,2637.28
2022-02-24 23:00:00+00:00:00,2604.23,2566.58,2597.94,2566.69
2022-02-25 00:00:00+00:00:00,2631.26,2585.33,2586.57,2597.94
2022-02-25 01:00:00+00:00:00,2648.18,2585.17,2631.13,2586.57
2022-02-25 02:00:00+00:00:00,2650.65,2626.31,2641.05,2631.13
2022-02-25 03:00:00+00:00:00,2641.64,2607.42,2638.06,2641.05
2022-02-25 04:00:00+00:00:00,2640.06,2613.88,2618.72,2638.06
2022-02-25 05:00:00+00:00:00,2625,2587.1,2607.22,2618.72
2022-02-25 06:00:00+00:00:00,2638.29,2598.14,2634.94,2607.22
2022-02-25 07:00:00+00:00:00,2645.9,2610.51,2614.69,2634.94
2022-02-25 08:00:00+00:00:00,2619.01,2593.53,2609.71,2614.69
2022-02-25 09:00:00+00:00:00,2624.98,2573.59,2618.59,2609.71
2022-02-25 10:00:00+00:00:00,2626.23,2608.32,2618.14,2618.59
2022-02-25 11:00:00+00:00:00,2641.09,2600.69,2634.01,2618.14
2022-02-25 12:00:00+00:00:00,2715.03,2634.01,2709.02,2634.01
2022-02-25 13:00:00+00:00:00,2733.88,2704.08,2712.85,2709.02
2022-02-25 14:00:00+00:00:00,2715.68,2679.92,2682.32,2712.85
2022-02-25 15:00:00+00:00:00,2744.6,2658.05,2735.85,2682.32
2022-02-25 16:00:00+00:00:00,2746.99,2704.41,2726.94,2735.85
2022-02-25 17:00:00+00:00:00,2732.38,2686.29,2694.36,2726.94
2022-02-25 18:00:00+00:00:00,2700.86,2669.06,2676.17,2694.36
2022-02-25 19:00:00+00:00:00,2705.21,2668.42,2679.57,2676.17
2022-02-25 20:00:00+00:00:00,2720.42,2670.17,2715.74,2679.57
2022-02-25 21:00:00+00:00:00,2730.52,2703.68,2709.34,2715.74
2022-02-25 22:00:00+00:00:00,2799.47,2695.78,2795.84,2709.34
2022-02-25 23:00:00+00:00:00,2836.6,2752.52,2769,2795.84
2022-02-26 00:00:00+00:00:00,2872.94,2764.59,2833.37,2769
2022-02-26 01:00:00+00:00:00,2845.19,2808.88,2820.21,2833.37
2022-02-26 02:00:00+00:00:00,2824.95,2802.22,2804.38,2820.21
2022-02-26 03:00:00+00:00:00,2807.84,2783.91,2795.56,2804.38
2022-02-26 04:00:00+00:00:00,2823.6,2795.14,2809.89,2795.56
2022-02-26 05:00:00+00:00:00,2811.31,2772.21,2777.84,2809.89
2022-02-26 06:00:00+00:00:00,2791.96,2776.44,2780.68,2777.84
2022-02-26 07:00:00+00:00:00,2793.31,2759.43,2793.05,2780.68
2022-02-26 08:00:00+00:00:00,2816.62,2745.13,2756.41,2793.05
2022-02-26 09:00:00+00:00:00,2764.36,2730.21,2750.14,2756.41
2022-02-26 10:00:00+00:00:00,2776.46,2746.18,2771.29,2750.14
2022-02-26 11:00:00+00:00:00,2780.07,2741.4,2753.62,2771.29
2022-02-26 12:00:00+00:00:00,2765.5,2744.68,2763.86,2753.62
2022-02-26 13:00:00+00:00:00,2786.25,2761.4,2773.14,2763.86
2022-02-26 14:00:00+00:00:00,2797.07,2760.75,2784.93,2773.14
2022-02-26 15:00:00+00:00:00,2808.27,2781.74,2787.24,2784.93
2022-02-26 16:00:00+00:00:00,2799.34,2783,2792.47,2787.24
2022-02-26 17:00:00+00:00:00,2797.99,2785.03,2793.25,2792.47
2022-02-26 18:00:00+00:00:00,2795.2,2767.43,2795.2,2793.25
2022-02-26 19:00:00+00:00:00,2834.13,2794.54,2810.79,2795.2
2022-02-26 20:00:00+00:00:00,2835.16,2810.45,2825.31,2810.79
2022-02-26 21:00:00+00:00:00,2856.53,2820.92,2826.82,2825.31
2022-02-26 22:00:00+00:00:00,2828.24,2791.51,2797.33,2826.82
2022-02-26 23:00:00+00:00:00,2797.67,2767.14,2780.32,2797.33
2022-02-27 00:00:00+00:00:00,2791.09,2743.82,2750.25,2780.32
2022-02-27 01:00:00+00:00:00,2755.39,2683.97,2684.04,2750.25
2022-02-27 02:00:00+00:00:00,2714.35,2680.43,2711.6,2684.04
2022-02-27 03:00:00+00:00:00,2729.6,2710,2718.36,2711.6
2022-02-27 04:00:00+00:00:00,2721.49,2702.26,2707.12,2718.36
2022-02-27 05:00:00+00:00:00,2724.55,2699.31,2710.28,2707.12
2022-02-27 06:00:00+00:00:00,2738.05,2709.46,2734.01,2710.28
2022-02-27 07:00:00+00:00:00,2745.82,2733.95,2738.68,2734.01
2022-02-27 08:00:00+00:00:00,2747.91,2724.65,2744.62,2738.68
2022-02-27 09:00:00+00:00:00,2772.79,2737.59,2770.56,2744.62
2022-02-27 10:00:00+00:00:00,2817.67,2760.28,2813.77,2770.56
2022-02-27 11:00:00+00:00:00,2831.85,2788.86,2822.38,2813.77
2022-02-27 12:00:00+00:00:00,2835.86,2805.54,2830.6,2822.38
2022-02-27 13:00:00+00:00:00,2832.79,2720.94,2780.64,2830.6
2022-02-27 14:00:00+00:00:00,2788.83,2748.35,2762.47,2780.64
2022-02-27 15:00:00+00:00:00,2820.75,2757.68,2809.83,2762.47
2022-02-27 16:00:00+00:00:00,2810.03,2765.84,2778.09,2809.83
2022-02-27 17:00:00+00:00:00,2779.72,2765.16,2766.63,2778.09
2022-02-27 18:00:00+00:00:00,2769.1,2731.85,2738.85,2766.63
2022-02-27 19:00:00+00:00:00,2748.15,2600.77,2608.04,2738.85
2022-02-27 20:00:00+00:00:00,2658.69,2590.04,2635.2,2608.04
2022-02-27 21:00:00+00:00:00,2638.93,2560.39,2605.01,2635.2
2022-02-27 22:00:00+00:00:00,2640.35,2598.24,2630.45,2605.01
2022-02-27 23:00:00+00:00:00,2632.91,2582.47,2617.32,2630.45
2022-02-28 00:00:00+00:00:00,2626.05,2591.46,2606.43,2617.32
